cid	LAT	LONG
10	42.6961987	-84.4908408
11	42.6951014	-84.491799
12	42.6934206	-84.4925103
2	42.6969676	-84.4903334
3	42.6969738	-84.490328
4	42.6969777	-84.4903257
5	42.69698	-84.490322
6	42.6969801	-84.490321
7	42.6969602	-84.4903395
8	42.6969057	-84.4903694
9	42.6965722	-84.4905543
32	42.405617	-85.369609
33	42.405617	-85.3696085
34	42.4056171	-85.3696076
35	42.4056175	-85.3695998
36	42.4056168	-85.369604
37	42.4055932	-85.3696289
38	42.4055669	-85.3696696
39	42.4052607	-85.3699555
40	42.4048542	-85.3702091
41	42.403585	-85.3706173
42	42.4023398	-85.3712555
62	42.0174756	-85.95435
63	42.017472	-85.9543496
64	42.0174713	-85.9543507
65	42.017471	-85.954354
66	42.0174711	-85.9543571
67	42.017481	-85.9543673
68	42.0175083	-85.9544358
69	42.0177529	-85.9548559
70	42.017921	-85.9554292
71	42.0182406	-85.9571291
72	42.0195084	-85.9595106
