ID,sid,act,95,97,99
10_total,10,total,2581,3686,5484
11_total,11,total,2231,3271,5050
12_total,12,total,2633,3869,5872
2_total,2,total,2293,3353,5165
3_total,3,total,2462,3530,5449
4_total,4,total,3028,4404,6781
5_total,5,total,2667,3795,5812
6_total,6,total,2949,4352,6830
7_total,7,total,2809,4110,6392
8_total,8,total,2322,3408,5294
9_total,9,total,2371,3448,5203
10_active,10,active,2250,3358,5243
11_active,11,active,2646,3954,6404
12_active,12,active,5434,8735,15957
2_active,2,active,2180,3205,5009
3_active,3,active,2797,4082,6211
4_active,4,active,2775,4109,6400
5_active,5,active,2962,4389,6716
6_active,6,active,2550,3786,5908
7_active,7,active,2542,3770,5725
8_active,8,active,2692,4069,6276
9_active,9,active,2936,4433,6994
10_dormant,10,dormant,1212,1804,3141
11_dormant,11,dormant,824,1367,2716
12_dormant,12,dormant,267,439,1128
2_dormant,2,dormant,832,1323,2506
3_dormant,3,dormant,767,1203,2447
4_dormant,4,dormant,1102,1716,3248
5_dormant,5,dormant,835,1299,2568
6_dormant,6,dormant,1125,1749,3398
7_dormant,7,dormant,1010,1577,3043
8_dormant,8,dormant,637,988,2075
9_dormant,9,dormant,641,1007,1955
32_total,32,total,2333,3465,5600
33_total,33,total,2526,3807,6249
34_total,34,total,2825,4244,6704
35_total,35,total,2571,3901,6235
36_total,36,total,2427,3690,6373
37_total,37,total,2154,3244,5483
38_total,38,total,1656,2376,3743
39_total,39,total,1551,2278,3647
40_total,40,total,2821,4249,6528
41_total,41,total,2842,4302,6778
42_total,42,total,2383,3476,5520
32_active,32,active,2631,4185,6885
33_active,33,active,2445,3729,5911
34_active,34,active,2390,3658,6021
35_active,35,active,2511,3887,6494
36_active,36,active,2615,4049,6485
37_active,37,active,1782,2701,4324
38_active,38,active,1671,2462,3949
39_active,39,active,1183,1742,2810
40_active,40,active,2139,3363,5570
41_active,41,active,2785,4350,6881
42_active,42,active,2091,3220,5116
32_dormant,32,dormant,708,1137,2427
33_dormant,33,dormant,901,1470,3092
34_dormant,34,dormant,1203,1920,3555
35_dormant,35,dormant,884,1472,2897
36_dormant,36,dormant,816,1390,3301
37_dormant,37,dormant,962,1540,3179
38_dormant,38,dormant,679,1011,1963
39_dormant,39,dormant,763,1191,2225
40_dormant,40,dormant,1330,2068,3654
41_dormant,41,dormant,890,1422,2861
42_dormant,42,dormant,935,1385,2677
63_total,62,total,1937,2855,4549
64_total,63,total,1601,2328,3707
65_total,64,total,1698,2503,4109
66_total,65,total,1337,1911,3009
67_total,66,total,1890,2768,4390
68_total,67,total,1872,2774,4423
69_total,68,total,1545,2194,3533
70_total,69,total,992,1419,2307
71_total,70,total,2578,3730,5661
72_total,71,total,3774,5591,8527
72_total,72,total,3177,4709,7274
63_active,62,active,1664,2503,3835
64_active,63,active,1394,2102,3294
65_active,64,active,1679,2573,4140
66_active,65,active,1140,1711,2787
67_active,66,active,1558,2256,3437
68_active,67,active,1928,2917,4531
69_active,68,active,1579,2295,3565
70_active,69,active,814,1205,1987
71_active,70,active,2011,3016,4681
72_active,71,active,3344,5058,7579
72_active,72,active,1775,2653,4166
63_dormant,62,dormant,808,1274,2518
64_dormant,63,dormant,658,1010,1972
65_dormant,64,dormant,565,871,1906
66_dormant,65,dormant,576,851,1589
67_dormant,66,dormant,867,1353,2621
68_dormant,67,dormant,580,938,1995
69_dormant,68,dormant,513,757,1596
70_dormant,69,dormant,424,639,1302
71_dormant,70,dormant,1202,1806,3220
72_dormant,71,dormant,1394,2223,4278
72_dormant,72,dormant,1898,2936,5093
