temp_soil,temp_air,soilmoist,no3,nh4
0.686837512,-0.200674984,-0.024034534,0.049971378,-0.297817394
0.134017076,1.220860375,-0.655346771,-0.296207378,-0.337500546
-0.197675186,1.775605881,0.252587656,-0.006335432,-0.410862151
-0.639931536,-0.686077302,-0.121634024,2.532407938,0.333804197
-0.639931536,-0.686077302,0.222857405,0.247447209,-0.288584019
-0.639931536,-0.686077302,0.199253967,0.087303325,-0.306632404
-0.584649492,-0.686077302,0.556851262,0.47200431,-0.319317061
-0.474085405,-0.686077302,0.486028212,2.518356745,-0.310841761
0.078735032,-0.374032955,-0.270246308,-0.102844854,-0.363861619
-0.197675186,1.01283081,-0.478021887,-0.011494805,-0.342585862
0.852683643,0.215384145,-0.051475995,-0.072127667,-0.404175944
2.179452691,0.458085304,-0.713528049,1.324062903,-0.164093546
2.179452691,0.631443275,-0.553002077,0.802812731,-0.298937224
2.01360656,0.735458057,-0.546687192,1.113329812,-0.290769412
2.179452691,0.388742116,-0.64019659,-0.145987036,-0.373323474
1.903042473,0.111369363,-0.356596179,0.008386001,-0.33207209
1.626632254,-0.16600339,-0.603181663,0.21026956,0.075993642
1.129093861,-0.131331796,-0.588125652,-0.234779267,0.162082904
1.294939992,-0.408704549,-0.279790375,5.006836385,3.309437726
1.350222036,-0.512719331,-0.392190255,-0.266232549,-0.401086996
1.460786123,-0.75542049,-0.573133102,-0.429267895,-0.456315348
1.571350211,-0.616734114,-0.38850783,3.459405376,0.646104441
0.35514525,-0.270018172,-0.886795033,-0.615954387,-0.114096613
0.576273425,-0.027317014,-0.710913519,-0.540013209,-0.276657797
0.576273425,-0.096660202,-0.804289154,-0.438396781,0.006735161
0.520991381,0.042026175,-0.815776098,0.444177367,2.168062447
0.576273425,0.42341371,-0.691260978,0.406268763,0.215814601
0.742119556,0.007354581,-1.145538708,-0.647908994,0.132438985
0.742119556,0.180712551,-0.992231389,-0.226434712,0.165138809
-0.031829055,-0.096660202,-0.937221116,0.775635965,5.26761286
-0.639931536,-0.339361361,-0.620257162,-0.589573685,-0.413727835
-0.639931536,-0.339361361,-0.47461427,-0.676054626,-0.385109633
-0.197675186,-0.235346578,-0.675154262,-0.601433356,-0.439306943
