sid	temp_soil	temp_air	soilmoist	no3	nh4
EL_AG_002	-0.639931536	-0.686077302	-0.121634024	2.532407938	0.333804197
EL_AG_003	-0.639931536	-0.686077302	0.222857405	0.247447209	-0.288584019
EL_AG_004	-0.639931536	-0.686077302	0.199253967	0.087303325	-0.306632404
EL_AG_005	-0.584649492	-0.686077302	0.556851262	0.47200431	-0.319317061
EL_AG_006	-0.474085405	-0.686077302	0.486028212	2.518356745	-0.310841761
EL_AG_007	0.078735032	-0.374032955	-0.270246308	-0.102844854	-0.363861619
EL_AG_008	-0.197675186	1.01283081	-0.478021887	-0.011494805	-0.342585862
EL_AG_009	0.852683643	0.215384145	-0.051475995	-0.072127667	-0.404175944
EL_AG_010	0.686837512	-0.200674984	-0.024034534	0.049971378	-0.297817394
EL_AG_011	0.134017076	1.220860375	-0.655346771	-0.296207378	-0.337500546
EL_AG_012	-0.197675186	1.775605881	0.252587656	-0.006335432	-0.410862151
EL_FOR_017	-0.584649492	0.666114869	-0.232565714	-0.45402986	-0.387946886
EL_FOR_018	-0.529367448	0.388742116	0.034103709	-0.403005453	-0.371307533
EL_FOR_019	-0.639931536	3.543857181	-0.04168918	-0.417559059	-0.36544235
EL_FOR_020	-0.584649492	2.781082111	0.119548769	-0.396357326	-0.358726874
EL_FOR_021	-0.916341754	0.562100087	-0.386039753	-0.62442549	-0.39169052
EL_FOR_022	-0.363521317	-0.16600339	0.151536535	-0.551970614	-0.383947537
EL_FOR_023	-1.026905841	-0.027317014	-0.325152791	-0.285760733	-0.408226815
EL_FOR_024	-1.137469929	-0.131331796	0.810497153	-0.448317759	-0.35464509
EL_FOR_025	-0.584649492	-0.131331796	0.876271631	-0.544774121	-0.411589063
EL_FOR_026	0.742119556	-0.547390925	-0.318316363	-0.813489815	-0.415151843
EL_FOR_027	0.576273425	0.319398928	5.386396801	0.448073403	-0.013732071
KBS_AG_032	2.179452691	0.458085304	-0.713528049	1.324062903	-0.164093546
KBS_AG_033	2.179452691	0.631443275	-0.553002077	0.802812731	-0.298937224
KBS_AG_034	2.01360656	0.735458057	-0.546687192	1.113329812	-0.290769412
KBS_AG_035	2.179452691	0.388742116	-0.64019659	-0.145987036	-0.373323474
KBS_AG_036	1.903042473	0.111369363	-0.356596179	0.008386001	-0.33207209
KBS_AG_037	1.626632254	-0.16600339	-0.603181663	0.21026956	0.075993642
KBS_AG_038	1.129093861	-0.131331796	-0.588125652	-0.234779267	0.162082904
KBS_AG_039	1.294939992	-0.408704549	-0.279790375	5.006836385	3.309437726
KBS_AG_040	1.350222036	-0.512719331	-0.392190255	-0.266232549	-0.401086996
KBS_AG_041	1.460786123	-0.75542049	-0.573133102	-0.429267895	-0.456315348
KBS_AG_042	1.571350211	-0.616734114	-0.38850783	3.459405376	0.646104441
KBS_FOR_047	0.907965687	-1.206151214	-0.059343827	-0.660203825	-0.310526274
KBS_FOR_048	0.023452988	-1.206151214	0.230693993	-0.671635875	-0.098748792
KBS_FOR_049	-0.031829055	-1.206151214	0.348644016	-0.660722598	-0.250152984
KBS_FOR_050	1.184375905	-1.136808026	-0.081792374	-0.664231384	-0.179946771
KBS_FOR_051	-0.474085405	-1.102136431	0.668875346	-0.646916969	-0.170955945
KBS_FOR_052	-0.750495623	-1.414180779	0.288486091	-0.311146467	-0.275266414
KBS_FOR_053	-1.248034016	-1.310165996	0.402671963	-0.263202381	-0.27454494
KBS_FOR_054	-1.137469929	-1.552867155	0.027212177	-0.462903976	-0.312524935
KBS_FOR_055	-1.358598103	-1.656881937	0.723385802	-0.206181026	-0.38489281
KBS_FOR_056	-1.192751972	-1.552867155	-0.286315777	-0.627799443	-0.375925096
KBS_FOR_057	-0.805777667	-1.518195561	-0.271618571	-0.671007841	-0.401549813
RU_AG_062	0.35514525	-0.270018172	-0.886795033	-0.615954387	-0.114096613
RU_AG_063	0.576273425	-0.027317014	-0.710913519	-0.540013209	-0.276657797
RU_AG_064	0.576273425	-0.096660202	-0.804289154	-0.438396781	0.006735161
RU_AG_065	0.520991381	0.042026175	-0.815776098	0.444177367	2.168062447
RU_AG_066	0.576273425	0.42341371	-0.691260978	0.406268763	0.215814601
RU_AG_067	0.742119556	0.007354581	-1.145538708	-0.647908994	0.132438985
RU_AG_068	0.742119556	0.180712551	-0.992231389	-0.226434712	0.165138809
RU_AG_069	-0.031829055	-0.096660202	-0.937221116	0.775635965	5.26761286
RU_AG_070	-0.639931536	-0.339361361	-0.620257162	-0.589573685	-0.413727835
RU_AG_071	-0.639931536	-0.339361361	-0.47461427	-0.676054626	-0.385109633
RU_AG_072	-0.197675186	-0.235346578	-0.675154262	-0.601433356	-0.439306943
RU_FOR_077	-0.971623798	1.116845593	0.286451847	-0.4644055	-0.353186767
RU_FOR_078	-0.86105971	1.116845593	-0.178699182	-0.427504408	-0.355574911
RU_FOR_079	-0.916341754	1.116845593	-0.365004098	-0.515591628	-0.346647635
RU_FOR_080	-0.418803361	1.740934287	0.133706317	0.409006422	-0.179975233
RU_FOR_081	-0.750495623	1.706262693	2.381641023	-0.19982065	0.540956352
RU_FOR_082	-0.474085405	1.082173998	-0.274354234	-0.377277767	-0.342796496
RU_FOR_083	-1.026905841	0.83947284	0.292568188	0.202524466	3.961711335
RU_FOR_084	-0.86105971	0.527428492	-0.297085495	-0.690590954	-0.397100665
RU_FOR_085	-0.971623798	-0.16600339	-0.252820448	-0.543731457	-0.362421801
RU_FOR_086	-1.082187885	-0.027317014	0.593358834	-0.181163264	-0.387248928
RU_FOR_087	-1.579726278	-0.651405708	3.886919282	-0.431505782	-0.035823999
