"","strain","rep","a","b","c","z","AIC"
"56","KBS0711","12","923.940411789961","0.755769062360653","4.43570000559108","0.226725494095583","6.84311073565149"
"57","KBS0711","10","25465.148501474","-0.318477335891839","0.872969863214469","0.355729500775992","51.4269034891837"
"58","KBS0711W","1","3662.39668739926","0.94163914945184","4.49920498474952","0.445792959919999","76.4286154930469"
"59","KBS0711W","2","1653.37295486717","0.946388022152856","4.90247291515161","0.632305047880007","115.588203894998"
"60","KBS0711W","3","3577.21365241061","0.943686004254615","4.46579371579294","0.536205518276411","97.116709319936"
"61","KBS0711W","4","5150.53404422758","0.944652328946814","4.29084620322062","0.540146199484734","97.941300310919"
"62","KBS0712","1","220","1","8.2","10","317.623603840799"
"63","KBS0712","2","220","1","8.2","10","325.046911242721"
"64","KBS0712","3","220","1","8.1","10","317.99865265431"
"65","KBS0712","4","220","1","8.2","10","326.248136975406"
"66","KBS0713","3","415618.896145435","0.939856498655108","3.49129006845196","0.453131013632084","71.0145669468831"
"67","KBS0713","4","39497.9288810365","0.932625213989649","3.80562416880068","0.400409410875815","58.3671521397444"
"68","KBS0713","1","443519.724357518","0.905353999011657","2.6216065811569","0.323377331620271","37.5114614499911"
"69","KBS0713","2","39405.3284664062","0.897369425407016","3.15326648774806","0.313701843936782","33.450481806971"
"70","KBS0714","1","102.562478466749","1.17887832854627","7.70964961634432","0.612709378565401","52.5963470026932"
"71","KBS0714","2","101.919522455889","1.18326558644746","7.75905865811739","0.565542686962625","48.7469904221548"
"72","KBS0714","3","109.287073836275","1.10724234645702","7.1279598089907","0.589264466730581","50.7153289087344"
"73","KBS0714","4","103.580810729439","1.16884509101191","7.71460354544257","0.632526149321176","54.1198760007328"
"74","KBS0715","1","375942.693416327","0.921309479307168","2.59363430109159","0.375649372020433","71.2326617523414"
"75","KBS0715","2","423832.437709558","0.915777297007609","2.35474905284127","0.372600273471607","68.148924884089"
"76","KBS0715","3","622522.616069449","0.916515728856133","2.31465136593107","0.390130108861583","75.4352591968517"
"77","KBS0715","4","308809.987051893","0.916165832391082","2.51163640716422","0.378369850061253","70.7895921298736"
"78","KBS0721","1","2085.65272458823","0.954894032178247","4.79159154835146","0.431424872600833","85.4943501858436"
"79","KBS0721","2","3594.44924111624","0.939644070807559","4.26232630173205","0.552841457825034","118.72908856901"
"80","KBS0721","3","4156.74209229368","0.930082949703508","3.97805028344473","0.538881412594751","115.298890454558"
"81","KBS0721","4","2746.95791366763","0.941806742980595","4.35867554029115","0.594798082089087","128.523878306241"
"82","KBS0722","1","3977.00413201099","0.976230091751725","6.11844994776603","0.40606733145158","57.6978658787712"
"83","KBS0722","2","10000.9913373413","0.967450430915061","5.53179742582402","0.423258733423209","61.6838652007627"
"84","KBS0722","3","6416.81559964156","0.970648742501081","5.81133811098245","0.453407228669558","68.2453003853075"
"85","KBS0722","4","5515.79202640245","0.969525791259139","5.76518413201962","0.517371343274055","79.4218791411404"
"86","KBS0724","1","1442.71911983002","0.938828993735645","5.11996780925544","0.435591544693179","63.2508958391796"
"87","KBS0724","2","1642.09834550191","0.941689479711556","5.12125579906219","0.382869522538842","51.1639871543645"
"88","KBS0724","3","1182.93408772748","0.956308607927765","5.59708884730329","0.381789247227204","50.8713581983486"
"89","KBS0724","4","1404.59435980694","0.943127347483077","5.19930693864707","0.43973137165119","64.1441911092128"
"90","KBS0725","1","475.836622071123","1.01571464211713","7.55004176069202","0.661313222118556","100.507169768661"
"91","KBS0725","2","440.907499081018","1.02569478628081","7.95377288681315","0.700998823000338","110.120235536434"
"92","KBS0725","3","410.710493364681","1.02467991729069","8.04326727892851","0.768326394959352","116.601463715502"
"93","KBS0725","4","405.245056534356","1.02144653232625","7.92510903703115","0.80902321173581","123.868181662236"
"94","KBS0727","1","1362.25498518302","0.94168656433839","5.27844733816474","0.489065133977045","57.2678257844278"
"95","KBS0727","2","720.928053064432","0.982633916136776","6.6870759947776","0.675874384491187","96.3430136213464"
"96","KBS0727","3","540.133496473177","1.00719586656572","7.33021696291019","0.743192199044077","129.198995255061"
"97","KBS0727","4","548.623474779416","1.00119406376643","7.27765504380674","0.695817187605704","96.7238472426478"
"98","KBS0801","1","2322.3692119568","0.986822637470026","7.07998336885671","0.328801774798247","34.9901711227228"
"99","KBS0801","2","2273.67841232219","0.98536339452203","7.07742071043698","0.318622440462274","32.2208217952667"
"100","KBS0801","3","2363.47418746515","0.985981906057702","7.07991576217812","0.400613906966024","52.3738870394219"
"101","KBS0801","4","2782.35172927513","0.971735696920849","6.69835731145616","0.443911373924353","60.1690383836068"
"102","KBS0802","1","4276.14631688732","0.870558068194586","3.53908035180731","0.663658304209713","141.192790579821"
"103","KBS0802","2","6163.90402680127","0.861901167754266","3.19084942781432","0.716480019978129","151.291202368701"
"104","KBS0802","3","4339.44976261725","0.863604359983511","3.45045749150957","0.668189629247049","142.062742496225"
"105","KBS0802","4","4709.40574875392","0.861057079106388","3.38915128186016","0.722539662543847","150.211440072668"
"106","KBS0812","1","9069397.57825862","0.994420862791781","4.72201109021686","0.141047793281166","-64.2316246441736"
"107","KBS0812","2","2554746.87704579","0.995265583384705","4.86806431196926","0.139962776591765","-65.089432062567"
"108","KBS0812","3","2134497.91498318","0.993454195640608","4.72463237313936","0.161627469918642","-46.5485490219465"
"109","KBS0812","4","2590209.96048781","0.998404948147141","4.88633902916758","0.179308469991543","-32.1571440784844"
"110","KBS0816","1","18.7204517010654","1.13552590104505","11.1297520670712","0.374858519485728","13.2532113196655"
"111","KBS0816","2","15.0939175534436","1.16225023259651","12.8969290373468","0.163785698149034","3.31530277105472"
"112","KBS0816","3","22.025608102043","1.10486167908116","10.0671305524532","0.0721548992557829","-8.95721996235205"
"113","KBS0816","4","10.9354715984075","1.2629484892411","19.3022460358655","0.0156183785293543","-24.8829910940856"
