"","strain","rep","a","b","c","z","AIC"
"1","ATCC13985","1","2052.85693214048","0.984526093662299","6.58390784619776","0.393432457091143","72.1667769840319"
"2","ATCC13985","2","2180.89398119623","0.983196941721656","6.49514659884858","0.401898856114674","74.965243888583"
"3","ATCC13985","3","2912.34022990979","0.971674061468813","6.01085173668521","0.563438631713128","102.678308787782"
"4","ATCC13985","4","2604.16387144923","0.979283563118632","6.28380615893426","0.405445071653832","65.8114836880702"
"5","ATCC43928","1","1723.47113333861","0.963103830698289","5.50285162731619","0.587169133518294","125.016396506001"
"6","ATCC43928","2","1500.23498980704","0.967393208128141","5.6866003483055","0.641145626645706","136.646508160106"
"7","ATCC43928","3","5707.92367830606","0.972168274940146","5.79246294043258","0.387856847572558","60.8460835424176"
"8","ATCC43928","4","7639.77639758413","0.969102488510745","5.66552908054646","0.274301442503491","21.7928030228204"
"9","KBS0701","1","960.075649009777","0.91756033882697","3.9371963516545","0.693809701392699","153.39139042482"
"10","KBS0701","2","1672.288195812","0.802357841907897","2.28441825948991","0.629512825230617","139.919926621986"
"11","KBS0701","3","384.088113529249","0.962483806894132","5.39736608983979","0.105329172006696","-10.2965379847023"
"12","KBS0701","4","433.615133382673","0.965660602002599","5.47866495084107","0.0702539992496417","-19.2043593185422"
"13","KBS0701","5","1296.55051747794","0.933004662011836","3.87180208931648","0.75488547328982","139.983930136285"
"14","KBS0701","6","777.352594461385","0.931347729351507","4.00041753950824","0.597017571417141","114.553260280583"
"15","KBS0702","1","1340.11202225605","0.984600240346665","7.0218086483304","0.369008818767559","51.0397118020312"
"16","KBS0702","2","1728.3260804493","0.978146248456772","6.72414987916027","0.352866166752746","46.4958465199683"
"17","KBS0702","3","220","1","8.2","10","332.240150787789"
"18","KBS0702","5","220","1","8.2","10","330.592186836913"
"19","KBS0702","4","220","1","8","10","338.340638653792"
"20","KBS0702","6","220","1","8","10","329.299711102141"
"21","KBS0703","1","3559.37894706213","0.974565811818712","6.02522881313304","0.307888705643964","32.5760081923815"
"22","KBS0703","2","2758.32357169482","0.983841065732237","6.47282151425652","0.350537508157194","45.7923908181555"
"23","KBS0703","3","3944.91956759801","0.972314470228834","5.93476303955916","0.273426783691765","19.9848917164373"
"24","KBS0703","4","4288.99494940993","0.970378765344143","5.84145149577298","0.252354289334832","12.0194444811416"
"25","KBS0703","6","2648.22932006812","0.947312110734398","6.24042488978997","0.292515999782854","18.6186729688262"
"26","KBS0703","5","2010.77276951717","0.919294414891293","5.82860744542477","0.421534076091961","36.8641415322137"
"27","KBS0704","4","8202.96000565651","0.686102466542494","0.236855166179414","1.06240038721696","28.5220554934872"
"28","KBS0704","5","4.39386510320033","1.09687349810375","11.8670210862785","0.0747997219053552","-3.74852931384871"
"29","KBS0704","6","4.65416641148035","1.03371719814937","9.28395301234512","0.182876105431296","5.14950752561511"
"30","KBS0704","8","374.392916282763","0.719770756674513","0.856155365984864","1.92896030112311","28.7663877477377"
"31","KBS0704","9","11.3975502251611","0.979067530132371","6.219354489808","0.288383693878069","11.1597703276773"
"32","KBS0704","10","9.77921626649261","0.996224789139715","6.9067631123299","0.271266606555248","10.0570021076007"
"33","KBS0704","11","12.4541255680691","0.970246527781587","6.13518196814561","0.376575132362618","15.0744464959056"
"34","KBS0704","12","13.0394829198826","0.972860029694722","5.99432392567065","0.392242360764989","15.7262919269467"
"35","KBS0705","1","962.784995152794","0.97409755130962","5.99457763350288","0.638058042501341","64.2395932010151"
"36","KBS0705","2","202873.790414025","0.943573584835171","3.57918103773482","0.629232155240406","99.9013898728936"
"37","KBS0705","3","4983.07013226903","0.956511374583213","4.89927932519412","0.568726288300918","90.0235599798211"
"38","KBS0705","4","2810.15597582645","0.946858420360424","4.76892733695837","0.761821893846154","118.10599971273"
"39","KBS0706","1","220","1","6.8","10","312.009122205792"
"40","KBS0706","2","220","1","6.8","10","311.952042506567"
"41","KBS0706","3","220","1","6.8","10","312.389142935415"
"42","KBS0706","4","220","1","6.7","10","312.036925803865"
"43","KBS0707","1","293360.540049003","0.90588741242798","2.33552703942147","0.355137262257257","45.6420822804781"
"44","KBS0707","2","1858424.55742861","0.90292098836662","1.86987786373069","0.552419650345671","87.2037194138646"
"45","KBS0707","3","1080252.60403493","0.880921715068985","1.56866980409655","0.526666531566232","83.100347297529"
"46","KBS0707","4","607517.411519792","0.902727621182416","2.08721401837408","0.464210727003756","70.5957775086252"
"47","KBS0710","1","2333.2986594881","0.959116393743528","5.67400013208374","0.512550753640241","81.577569439683"
"48","KBS0710","2","2990.34577991329","0.952168009015618","5.32929422237052","0.506735403322472","80.445608684826"
"49","KBS0710","3","220","1","8","10","334.081312675602"
"50","KBS0710","4","220","1","8","10","333.203364920368"
"51","KBS0711","1","220","1","8.4","10","484.005548104528"
"52","KBS0711","2","220","1","7.7","10","484.603574269526"
"53","KBS0711","3","220","1","8.2","10","485.07787862199"
"54","KBS0711","4","507.357982266534","0.972144217809896","6.59906729571017","0.198353958140966","2.43627790565428"
"55","KBS0711","11","57221.4847537965","-0.281283265742623","0.486032748200946","0.314678092638474","48.0854284733751"
