strains decay evolvability N0
ATCC13985 0.00536977141319486 -2.80822345547871e-06 7.12406619217779
ATCC43928 0.00569808262171894 -3.44872036080703e-06 6.77404542585598
KBS0701 0.0156417518756898 -1.75191933490701e-05 5.84761302366741
KBS0702 0.00356954610750891 0 7.10198801458054
KBS0703 0.0044101657976019 -1.08393801947982e-06 7.21229895648648
KBS0704 0.523579158256199 -0.00576159311496976 6.95667400220177
KBS0705 0.0108153167811375 -1.07014799480006e-05 6.87692520709888
KBS0706 0.00171932486257193 0 6.33734682885144
KBS0707 0.00679826673291311 -5.87826519444622e-06 5.74088131095386
KBS0710 0.00598141871504302 -2.52972771463585e-06 6.77072315760801
KBS0711 0.00809174409823627 -2.6810239787732e-06 6.33312870746872
KBS0711W 0.0111485906375957 -1.07722456217563e-05 6.72074830950846
KBS0712 0.00172182217962117 0 6.50159901237118
KBS0713 0.00750095572589421 -6.34596612409406e-06 6.86004005790983
KBS0714 0.0210587077234403 0 5.17971350852622
KBS0715 0.00698692263816906 -6.30979403371822e-06 5.87144266839537
KBS0721 0.00776921436771137 -5.58454116447573e-06 6.20149537579105
KBS0722 0.0016186421812114 0 6.63157559127099
KBS0724 0.00867778008330365 -5.17977217886232e-06 6.66308189326203
KBS0725 0.00894633311236361 0 6.94001200205708
KBS0727 0.00706857848866148 0 6.7071650884567
KBS0801 0.00319007166933728 0 7.44295149771501
KBS0802 0.0123994526148301 -1.0140161869045e-05 7.20518738979362
KBS0812 3.73632672284326e-05 0 5.0272851065085
KBS0816 0.0796654301024491 0 5.23425520828677
