name,X,Y
BC001,21.70790399,14.38286201
BC002,20.21577017,19.05173253
BC003,21.74325152,17.78734288
BC004,21.8715596,16.93627649
BC005,22.09048904,17.37724109
BC015,21.51297274,15.67799698
BC016,21.30114744,15.04896916
BC018,20.6562282,14.64497509
BC020,20.38670323,15.07983214
BC048,14.68552553,15.64413648
BC049,14.66386649,16.45212612
BC051,15.1187063,16.66794546
BC105,15.60724755,15.94321909
BC108,16.24740205,15.66267649
BC262,20.74286432,20.44568363
BCL01,20.90166832,19.53288734
BCL03,20.42040469,20.34698789
HNF132,20.44206372,5.140696233
HNF133,19.89573633,6.050363712
HNF134,19.98722408,5.67113191
HNF144,19.62378554,6.781295893
HNF168,10.00717261,4.789107987
HNF185,4.989464856,0
HNF187,3.065448366,2.205212238
HNF189,10.00136798,2.984209924
HNF190,0.400172571,3.214567835
HNF191,0,3.416505753
HNF216,11.49514886,3.584250822
HNF217,11.12140042,3.268854603
HNF224,12.24047981,4.483813643
HNF225,11.17676094,5.624838114
HNF229,12.24047981,4.483813643
HNF236,11.52356552,7.634791261
HNF237,10.56935474,7.235131479
HNF242,12.13365742,1.861063638
HNF250,10.87110852,4.141551102
HNF267,12.06963329,1.313756727
HNF269,11.9843833,0.698508821
HNF279,4.517557539,2.822237832
YSF004,14.09596649,14.68816103
YSF117,11.88622452,15.65834679
YSF295,14.25719638,15.81377203
YSF296,12.99854625,15.49914696
YSF298,10.18668276,15.14577679
YSF300,8.892944739,14.82571217
YSF44,12.73863776,13.08451013
YSF45,13.15258534,13.51015166
YSF46,13.41725882,14.05591467
YSF47,13.92503335,13.86907183
YSF65,13.78069751,16.67416247
YSF66,12.78914664,16.1869038
YSF69,14.01894694,15.30186802
YSF70,13.76770208,15.05329886
YSF71,13.55682967,14.57714319
YSF74,13.727243,13.18820056
