strain rep decay evolvability N0
ATCC13985 1 0.00829636227493733 -6.57534149668469e-06 7.50920755358221
ATCC13985 2 0.00758529261057703 -5.78431079341974e-06 7.39654905827317
ATCC13985 3 0.00349567469894133 0 6.87489622861296
ATCC13985 4 0.00350802320742672 0 6.93558508325128
ATCC43928 1 0.0110104795029032 -8.85824295780154e-06 7.11649034770799
ATCC43928 2 0.0115204994418982 -9.49963517290546e-06 7.16623616701945
ATCC43928 3 0.00152063466065678 0 6.53304924517407
ATCC43928 4 0.00133948488785055 0 6.48350457407501
KBS0701 1 0.0153948685762261 -1.28111528621095e-05 6.21943120780661
KBS0701 2 0.0164537313289586 -1.48982446713316e-05 5.82228505329471
KBS0701 3 0.0320932667096616 -6.76386227058251e-05 6.63237911019651
KBS0701 4 0.0137763998502525 0 6.16108032445487
KBS0701 5 0.00421531604146837 0 4.82983013613744
KBS0701 6 0.0146381997476304 -1.31733993281847e-05 5.75298936076138
KBS0702 1 0.00247651434674264 0 7.0601518663792
KBS0702 3 0.00371378932271988 0 7.14626190030259
KBS0702 2 0.00267819776805021 0 6.98081142274434
KBS0702 4 0.00460515292828453 0 7.11873289784719
KBS0703 1 0.00261806921414628 0 6.79681071150507
KBS0703 3 0.00478736417682656 0 7.33949282590287
KBS0703 4 0.00422965180107689 0 7.29393311264692
KBS0703 2 0.00279080955238081 0 6.91972552838977
KBS0703 5 0.0053623303564738 -3.5880975655017e-06 7.09395239715203
KBS0703 6 0.00500237884306939 -3.2385372260604e-06 7.03083573252439
KBS0703 8 0.00486356284386055 0 7.74734005131232
KBS0703 7 0.00633810808199235 0 7.78824460336681
KBS0704 5 0.533446792794094 0 7.77629556115936
KBS0704 6 1.11027638480999 -0.0403311518047883 8.00169808110838
KBS0704 8 0.530108567378023 0 7.72622188460952
KBS0704 9 0.372262581820124 0 6.20855636147363
KBS0704 10 0.402836030548992 0 6.45046663298911
KBS0704 11 0.366375225621373 0 6.33639015769713
KBS0704 12 0.3497485248208 0 6.19708933637526
KBS0705 1 0.016529593518121 -1.94183897896631e-05 7.22693113730117
KBS0705 2 0.0109097510608014 -1.14047161527447e-05 6.9623055341906
KBS0705 3 0.0092877424845356 -9.51913349968108e-06 6.77611248692315
KBS0705 4 0.0122624132408221 -1.12158274383117e-05 7.02650927023481
KBS0706 1 0.00152627344942713 0 6.28342576514145
KBS0706 2 0.00151863062559799 0 6.29776873044099
KBS0706 3 0.0014679701164652 0 6.32077072248526
KBS0706 4 0.00151643013755957 0 6.23680466018356
KBS0707 1 0.00598167950129482 -5.13225730534077e-06 5.7317579058811
KBS0707 2 0.00766861095230749 -7.20128928715373e-06 5.80995769050507
KBS0707 3 0.00827775418849764 -7.43327009671637e-06 5.81585571699221
KBS0707 4 0.00646610549274601 -5.55718487122551e-06 5.72073231730319
KBS0710 1 0.0034717705948957 0 6.63685063450679
KBS0710 2 0.00857920280244295 -6.68132582353409e-06 7.171440210101
KBS0710 3 0.00444077847298296 0 6.56639573330411
KBS0710 4 0.00493754381269793 0 6.42931544167922
KBS0711 1 0.00842706108656257 -5.9436416297292e-06 6.4884107067595
KBS0711 2 0.00798786635052726 -6.03669269728106e-06 6.37332486658657
KBS0711 3 0.0088479934298307 -7.36964138870298e-06 6.52768458421735
KBS0711 4 0.0172824414120637 0 7.45403471197988
KBS0711 11 0.000893360003016375 0 5.1785365615435
KBS0711 12 0.0131767216730686 0 7.3413440527537
KBS0711 10 0.000800395711341388 0 5.12062514512909
KBS0711W 1 0.0108224251117448 -1.0692837548012e-05 6.76172485821966
KBS0711W 2 0.0137182114317531 -1.28757224902096e-05 7.00512866232451
KBS0711W 3 0.0112615982972281 -1.10934565774514e-05 6.74261135185749
KBS0711W 4 0.0114979997902332 -1.33271565041137e-05 6.60527648204909
KBS0712 1 0.00212851091961756 0 6.57597401470837
KBS0712 2 0.00164519123283397 0 6.45788536762897
KBS0712 3 0.00208569245289508 0 6.54675376574317
KBS0712 4 0.00072636239949255 0 6.35314709822393
KBS0713 3 0.00832552590703284 -7.9487644206139e-06 6.96615852038629
KBS0713 4 0.00886496789445954 -8.1073558061451e-06 7.02238776935697
KBS0713 1 0.00770207756953162 -6.74307940845263e-06 6.82558788537603
KBS0713 2 0.00711892189212458 -5.59736317654226e-06 6.80753955768044
KBS0714 1 0.0202790846972992 0 5.13051471302707
KBS0714 2 0.0201456954269307 0 5.11628405256739
KBS0714 3 0.0194165825191639 0 5.06084281899329
KBS0714 4 0.020564907083473 0 5.20452960251128
KBS0715 1 0.00817246433817562 -8.04521849080878e-06 6.08044217793419
KBS0715 2 0.00729635476455133 -7.01824110436217e-06 5.78074703275156
KBS0715 3 0.00812571249056072 -7.96322132138044e-06 5.91530132789106
KBS0715 4 0.00843539983965768 -8.14265622810024e-06 6.12583618691765
KBS0721 1 0.00338062358267246 0 5.66400032290361
KBS0721 2 0.00760847137999362 -5.34344322502143e-06 6.24327322168177
KBS0721 3 0.00805829902192622 -6.19831657265329e-06 6.18251427586879
KBS0721 4 0.00346326631737188 0 5.61747643044975
KBS0722 1 0.00171005013236188 0 6.6634381776249
KBS0722 2 0.00586918349664987 -5.92927687339391e-06 7.07625141449856
KBS0722 3 0.00134956872192812 0 6.60593673656047
KBS0722 4 0.00145725761268165 0 6.54527472367601
KBS0724 1 0.0103093845400758 -7.16409053411043e-06 6.82862425949809
KBS0724 2 0.00865810006830281 -5.5521248447258e-06 6.68653542789551
KBS0724 3 0.00855538329288504 -5.12009133433347e-06 6.64371435854883
KBS0724 4 0.00864642191974824 -5.13877583859222e-06 6.62736075444121
KBS0725 1 0.00829511437126954 0 6.78939039034666
KBS0725 2 0.00883509654081889 0 6.98131047007877
KBS0725 3 0.00929913651157852 0 7.02705686562561
KBS0725 4 0.00935598502578749 0 6.96229028217729
KBS0727 1 0.00594352177301472 0 6.45639202525128
KBS0727 2 0.00674602240094744 0 6.71699710665892
KBS0727 3 0.00789230318397715 0 6.83609534220646
KBS0727 4 0.0076924665967066 0 6.81917587971012
KBS0801 1 0.00345819276473546 0 7.49817623878848
KBS0801 2 0.00343574244656853 0 7.50331181329702
KBS0801 3 0.00346990253742935 0 7.53369825326062
KBS0801 4 0.00327228625357163 0 7.45871072566017
KBS0802 1 0.013196398814324 -1.12294601620068e-05 7.30606484143583
KBS0802 2 0.0129922301347817 -1.12785007222665e-05 7.21889300224951
KBS0802 3 0.0127210617280636 -1.05754444944953e-05 7.24077412556963
KBS0802 4 0.012228793833073 -9.90968310123499e-06 7.22123612900251
KBS0812 1 4.91855245736078e-05 0 5.01728341081551
KBS0812 2 9.53286387144204e-05 0 5.11557818728066
KBS0812 3 0.000100806718109212 0 5.04455990245115
KBS0812 4 -4.92880216258316e-05 0 4.94455307403461
KBS0816 1 0.0813496086809481 0 5.35213147970905
KBS0816 2 0.0801765961379837 0 5.2076089306589
KBS0816 3 0.0772237401672075 0 5.3830317113381
KBS0816 4 0.0799117754236571 0 4.99424871144103
