"sample","ratio.min","ratio.max","live.dens","act.dens","dorm.dens","act.perc","dorm.perc","mean.act","median.act","mode.act"
"061815_BCSP_001.fcs",-1.51782115678451,3.51782115678451,27868500,670300,27198200,2.405,97.595,1.42973793909412,1.20396850777162,NA
"061815_BCSP_001u.fcs",-1.16461708624894,3.16461708624894,999600,43200,956400,4.322,95.678,1.57325119048969,1.30904139193215,NA
"061815_BCSP_002.fcs",-10.8229007012783,12.8229007012783,4696700,4300,4692400,0.092,99.908,1.36821738790009,1.10378972720889,NA
"061815_BCSP_002u.fcs",-0.982364745104554,2.98236474510455,991900,51800,940100,5.222,94.778,1.51611630540368,1.24616631394642,NA
"061815_BCSP_004.fcs",0.170425315239234,1.82957468476077,1581000,221600,1359400,14.016,85.984,1.21583984215199,1.02315483120997,NA
"061815_BCSP_004u.fcs",-14.7457889799902,16.7457889799902,976800,300,976500,0.031,99.969,1.53167063915642,1.16416321999519,NA
"061815_BCSP_010.fcs",-1.01379333090211,3.01379333090211,8960400,374600,8585800,4.181,95.819,1.38537972780976,1.17973093313913,NA
"061815_BCSP_010u.fcs",0.0807036749097875,1.91929632509021,998100,176100,822000,17.644,82.356,1.4773447637342,1.26187297104739,NA
"061815_BCSP_015.fcs",-0.618947443198816,2.61894744319882,6513200,490400,6022800,7.529,92.471,1.43441672909359,1.2096990268105,NA
"061815_BCSP_015u.fcs",-2.96280717834772,4.96280717834772,994000,8600,985400,0.865,99.135,1.46988985435132,1.27971713126614,NA
"061815_BCSP_016_2.fcs",-1.54160315196792,3.54160315196792,7636200,134100,7502100,1.756,98.244,1.31810884009523,1.12548813911793,NA
"061815_BCSP_016u_2.fcs",-0.211545617795724,2.21154561779572,997400,117600,879800,11.791,88.209,1.50873329551445,1.26751808103148,NA
"061815_BCSP_018.fcs",-7.20202003432064,9.20202003432064,4502700,5900,4496800,0.131,99.869,1.38519077827606,1.16612052092659,NA
"061815_BCSP_018u.fcs",-4.0985896687624,6.0985896687624,995000,5800,989200,0.583,99.417,1.52847960472139,1.26265096923167,NA
