"","strain","rep","a","b","z","AIC","N.obs"
"66","KBS0715","2","3797.97215582568","0.199709068682889","0.0530370575596718","-206.499537243365","70"
"67","KBS0715","3","4195.25449824173","0.192231924641013","0.0558213719558876","-199.332645535705","70"
"68","KBS0715","4","3849.26207223752","0.211386128798341","0.0518108683377505","-209.765380529823","70"
"69","KBS0721","1","1523.75825217903","0.418646325527284","0.0581332804610191","-185.093740114268","67"
"70","KBS0721","2","2035.88461775997","0.323395412980137","0.0703985380964868","-159.44307012899","67"
"71","KBS0721","3","1653.54500466725","0.287738047420339","0.0666169787491771","-166.838773769908","67"
"72","KBS0721","4","1589.48631920539","0.357709849184903","0.0768224047808871","-147.736632202113","67"
"73","KBS0722","1","7018.51937059885","0.423727951241589","0.0530955271139538","-139.603219134557","48"
"74","KBS0722","2","28070.426910052","0.303541424871353","0.0541602288554674","-137.701786056071","48"
"75","KBS0722","3","15379.1793241217","0.343650046747047","0.0577151283095","-131.598723136843","48"
"76","KBS0722","4","11551.0429790322","0.345730181538112","0.0661213759960693","-115.947229096958","47"
"77","KBS0724","1","1052.37418043512","0.653658395690825","0.0604109037073167","-124.43886327825","47"
"78","KBS0724","2","1200.89277266147","0.616775502937806","0.0524493562571876","-137.724116867569","47"
"79","KBS0724","3","949.025398073269","0.713721249013716","0.0540072941366365","-134.974638897164","47"
"80","KBS0724","4","1021.60559596394","0.631069959133991","0.0604265725763644","-124.417326948506","47"
"81","KBS0725","1","446.525973809972","0.958199792725626","0.0895300425020973","-85.4706102093763","46"
"82","KBS0725","2","440.506000855405","1.09675439841862","0.0912212381575557","-87.6487577735051","48"
"83","KBS0725","3","405.224267311132","1.06726166276275","0.098149582615909","-78.8184233470082","47"
"84","KBS0725","4","393.187829613463","1.03793406228518","0.103490567880559","-75.5365716209825","48"
"85","KBS0727","1","986.780099096385","0.462204016670523","0.0630467944932189","-88.1436985525402","35"
"86","KBS0727","2","600.830505045341","0.709367119776139","0.0902184746406284","-78.8468456600787","43"
"87","KBS0727","3","497.561056900395","0.925666701951897","0.0990609366144877","-90.4530391677153","54"
"88","KBS0727","4","495.923715419894","0.893765328538601","0.0929497726780935","-74.3674937697036","42"
"89","KBS0801","1","2734.1747710636","0.663731490974433","0.0398301108003568","-152.768914028952","44"
"90","KBS0801","2","2642.43087735131","0.648330540817872","0.038437215137919","-155.902945784918","44"
"91","KBS0801","3","2812.87404169069","0.64087792740789","0.0493854169046123","-133.845887393885","44"
"92","KBS0801","4","2581.20640997319","0.790386555514665","0.058080572059053","-116.719742949033","43"
"93","KBS0802","1","1442.13478273494","0.55777435428265","0.0973234402216031","-114.223457783665","66"
"94","KBS0802","2","1570.55543238814","0.529773983878585","0.10577180336506","-103.232787545427","66"
"95","KBS0802","3","1400.67001861955","0.578525131886982","0.0996669318820619","-111.080033828587","66"
"96","KBS0802","4","1414.62240702687","0.569543299504895","0.106306804992244","-100.923997709865","65"
"97","KBS0812","1","76814700799.5693","0.180302309877261","0.0276309303939016","-285.418673059095","67"
"98","KBS0812","2","1516315.74713985","0.605928338089427","0.0275686517054991","-285.071096529515","67"
"99","KBS0812","3","2381137.71433115","0.531690998302083","0.0321341207959494","-264.533330224107","67"
"100","KBS0812","4","23971144558.059","0.23261134321882","0.0355656629546816","-250.527459332447","67"
