Code	Phylum	Class	Order	Family	Genus
KBS0701	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Sphingobacteriaceae	Pedobacter
KBS0702	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter
KBS0704	Proteobacteria	BetaProteobacteria	Burkholderiales	Oxalobacteraceae	Dunganella
KBS0703	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter
KBS0705	Proteobacteria	AlphaProteobacteria	Rhodospirillales	Rhodospirillaceae	Inquilinus
KBS0706	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Mycobacterium
KBS0707	Proteobacteria	GammaProteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
KBS0710	Proteobacteria	GammaProteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
KBS0711	Proteobacteria	BetaProteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium
KBS0712	Proteobacteria	BetaProteobacteria	Burkholderiales	Comamonadaceae	Variovorax
KBS0713	Proteobacteria	GammaProteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia
KBS0714	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter
KBS0715	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Curtobacterium
KBS0721	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Flavobacterium
KBS0722	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Oerskovia
KBS0724	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Rhodococcus
KBS0725B	Proteobacteria	AlphaProteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
KBS0727B	Proteobacteria	AlphaProteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
KBS0801	Proteobacteria	BetaProteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia
KBS0802	Proteobacteria	GammaProteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
KBS0812	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus
KBS0816	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Terriglobus
ATCC13985	Proteobacteria	GammaProteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
ATCC43928	Proteobacteria	GammaProteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
Methanosarcina	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina
